0.0038,0.1246,27.99
0.0077,0.2007,35.42
0.0326,0.2693,29.97
0.2816,0.433,26.33
0.7835,0.6126,26.54
0.3716,0.7391,24.04
0.0728,0.7822,24.3
0.023,0.0913,26.08
0.05,0.0703,30.04
0.0333,0.1849,30.02
0.1333,0.3206,29.58
0.3833,0.5932,25.63
0.5333,0.5913,25.9
0.2333,0.6795,25.11
0.0167,0.2799,25.17
0.0167,0.052,27.33
0,0.1234,31.87
0.0625,0.2485,30.49
0.3438,0.6679,29.96
0.6875,0.425,24.87
1,0.5376,24.8
0.5938,0.7472,24.87
0.3125,1,23.84
0.2812,0.2144,26.42
0.125,0.0398,28.71
0.0604,0.1061,28.72
0.0168,0.0101,30.9
0.0268,0.1164,33.93
0.047,0.1552,34.12
0.2081,0.4078,28.82
0.6812,0.4723,28.16
1,0.568,25.81
0.6477,0.4488,22.79
0.2718,1,24.74
0.094,0.3191,26.13
0.0134,0.0595,25.92
0.0067,0.0601,25
0.1087,0.005,30.94
0.0652,0.0854,33.9
0.1522,0.3453,32.96
0.2391,0.4689,28.74
0.5652,0.445,27.64
1,0.5117,24.07
0.8043,1,24.33
0.4348,0.7189,25.45
0.1087,0.3797,24.78
0.2391,0.2484,26.45
0.0174,0.0224,28.45
0.0581,0.1046,30.49
0.0465,0.2629,31.97
0.0581,0.3327,34.27
0.2907,0.2049,29.29
0.5291,0.3198,28.9
0.686,0.9147,28.82
1,0.678,26.13
0.9186,1,24.74
0.436,0.5984,26.15
0.4477,0.1263,27.9
0.0756,0.1239,27.62
