0.063,0.1264,0.7693
0.1213,0.1181,0.8484
0.1318,0.0677,0.9301
0.107,0.2997,1
0.1882,0.3859,0.8295
0.4212,0.5348,0.7412
0.7431,0.7441,0.7565
1,1,0.6988
0.7154,0.7013,0.6483
0.2206,0.9611,0.6136
0.1012,0.0118,0.6741
0.0621,0.0061,0.7236
0.1181,0.0029,0.812
0.0386,0.0598,0.9708
0.1012,0.0583,0.9567
0.1133,0.3424,1
0.359,0.6786,0.8686
1,0.5189,0.8011
0.6554,0.6999,0.8182
0,0.7989,0.8029
0.0072,1,0.7684
0.0024,0.7653,0.7336
0.0313,0.012,0.8321
0.0386,0.0031,0.7504
0.048,0.1564,0.8283
0.0262,0.0191,0.9724
0.0961,0.1264,1
0.1769,0.3709,0.9958
0.5459,0.7805,0.9159
0.9694,0.5094,0.8081
1,0.5368,0.8363
0.81,0.975,0.7718
0.6769,1,0.7368
0.6179,0.2869,0.7971
0.3624,0.2343,0.8212
0.0961,0.0046,0.8669
0.2429,0.0268,0.7857
0.2626,0.0253,0.8757
0.3982,0.0393,1
0.337,0.1872,0.9566
0.4508,0.3834,0.7925
1,0.3789,0.797
0.9256,0.6607,0.767
0.8862,0.4941,0.7385
0.6411,1,0.6324
0.2035,0.5036,0.6643
0.0875,0.0591,0.6919
0.0044,0.0261,0.6619
0,0.0036,0.8054
0.2424,0.0051,0.8966
0.1616,0.1102,1
0.1414,0.376,0.9615
0.5253,0.5264,0.8704
1,0.6178,0.8734
0.7879,0.8672,0.7499
0.8182,1,0.7865
0.7273,0.9388,0.707
0.3737,0.6396,0.7101
0.3636,0.1759,0.7809
0.0505,0.0157,0.7522
0.0147,0.0167,0.7787
0.0232,0.088,0.8609
0.0505,0.1494,0.8941
0.0821,0.263,1
0.2147,0.3403,0.8583
0.3432,0.348,0.8331
0.3958,0.8487,0.8304
1,0.8022,0.7342
0.8653,1,0.729
0.4926,0.4953,0.7174
0.4105,0.1034,0.714
0.2526,0.0035,0.7897
