SVR,,K-NN,,LS,,,Ensemble
64.28571429,0.205921653,52.85714286,0.318498571,62.85714286,0.204559758,,64.28571429
60,0.189153767,41.42857143,0.331024286,54.28571429,0.211284138,,62.85714286
61.42857143,0.214122596,45.71428571,0.296645714,51.42857143,0.215281987,,54.28571429
67.14285714,0.179277411,48.57142857,0.300922857,70,0.182333871,,67.14285714
62.85714286,0.209661059,45.71428571,0.354282857,64.28571429,0.214869333,,64.28571429
61.42857143,0.175852161,42.85714286,0.362812857,62.85714286,0.176233529,,67.14285714
57.14285714,0.207630249,38.57142857,0.327377143,51.42857143,0.21166874,,61.42857143
64.28571429,0.182226696,41.42857143,0.35345,65.71428571,0.185431663,,72.85714286
67.14285714,0.155352144,47.14285714,0.350201429,70,0.175226756,,68.57142857
67.14285714,0.170149421,52.85714286,0.331825714,68.57142857,0.180099047,,65.71428571
68.57142857,0.159260864,44.28571429,0.370668571,71.42857143,0.164502213,,67.14285714
62.85714286,0.183042256,31.42857143,0.375904286,55.71428571,0.193481319,,64.28571429
60,0.206635329,28.57142857,0.388904286,60,0.202912657,,64.28571429
57.14285714,0.216140281,40,0.396838571,42.85714286,0.23673247,,54.28571429
67.14285714,0.168215653,48.57142857,0.29767,61.42857143,0.181763119,,65.71428571
58.57142857,0.191677943,27.14285714,0.431862857,55.71428571,0.192047587,,55.71428571
61.42857143,0.17727118,42.85714286,0.37066,61.42857143,0.187331787,,62.85714286
57.14285714,0.208484647,40,0.345884286,58.57142857,0.20711821,,55.71428571
58.57142857,0.193418901,51.42857143,0.312348571,58.57142857,0.195453345,,58.57142857
70,0.211580527,57.14285714,0.275348571,54.28571429,0.226714154,,65.71428571
58.57142857,0.210370224,50,0.329782857,60,0.217584472,,55.71428571
62.85714286,0.188686354,40,0.338455714,52.85714286,0.194850057,,57.14285714
77.14285714,0.144688729,60,0.272897143,77.14285714,0.148645608,,78.57142857
54.28571429,0.210913903,50,0.348064286,58.57142857,0.213665548,,60
52.85714286,0.228643508,42.85714286,0.358918571,54.28571429,0.211782799,,57.14285714
60,0.183700361,41.42857143,0.331838571,57.14285714,0.186931793,,55.71428571
72.85714286,0.165941299,48.57142857,0.345417143,64.28571429,0.182725715,,71.42857143
64.28571429,0.18811706,42.85714286,0.355207143,58.57142857,0.203209311,,60
52.85714286,0.21513855,40,0.379684286,42.85714286,0.226001579,,51.42857143
47.14285714,0.241110371,38.57142857,0.347538571,45.71428571,0.242064137,,44.28571429
64.28571429,0.193628363,55.71428571,0.317528571,61.42857143,0.192861638,,64.28571429
57.14285714,0.221991281,48.57142857,0.302328571,51.42857143,0.239018524,,58.57142857
58.57142857,0.196951967,54.28571429,0.29789,57.14285714,0.20369699,,60
68.57142857,0.17680952,44.28571429,0.328868571,67.14285714,0.183512185,,70
54.28571429,0.233812795,44.28571429,0.308168571,45.71428571,0.229198546,,51.42857143
58.57142857,0.215496986,47.14285714,0.339387143,55.71428571,0.217856172,,54.28571429
42.85714286,0.251026957,30,0.409907143,38.57142857,0.262541267,,38.57142857
60,0.208096471,42.85714286,0.299225714,55.71428571,0.213394207,,58.57142857
48.57142857,0.238073571,40,0.344497143,40,0.252297882,,47.14285714
58.57142857,0.218458481,47.14285714,0.317742857,57.14285714,0.207237459,,50
67.14285714,0.191474031,58.57142857,0.271481429,68.57142857,0.183803967,,68.57142857
58.57142857,0.191741099,52.85714286,0.300325714,61.42857143,0.196016589,,61.42857143
62.85714286,0.179268231,35.71428571,0.367894286,57.14285714,0.200661307,,67.14285714
68.57142857,0.195212133,42.85714286,0.333897143,55.71428571,0.208473717,,60
55.71428571,0.214780254,42.85714286,0.34108,44.28571429,0.219347549,,60
65.71428571,0.178438117,58.57142857,0.282238571,64.28571429,0.179722418,,65.71428571
51.42857143,0.226324537,37.14285714,0.360031429,51.42857143,0.222459119,,50
68.57142857,0.164186307,44.28571429,0.357497143,65.71428571,0.183409993,,67.14285714
62.85714286,0.18099393,35.71428571,0.36335,60,0.189410126,,65.71428571
60,0.204146589,44.28571429,0.299087143,55.71428571,0.209879031,,54.28571429
52.85714286,0.210338003,38.57142857,0.367297143,50,0.205070409,,58.57142857
61.42857143,0.181463077,32.85714286,0.347992857,57.14285714,0.185719885,,57.14285714
68.57142857,0.178981925,51.42857143,0.368728571,58.57142857,0.199995243,,67.14285714
67.14285714,0.168078368,50,0.338284286,68.57142857,0.191104362,,70
57.14285714,0.225025901,62.85714286,0.276282857,60,0.224832513,,62.85714286
42.85714286,0.230015929,37.14285714,0.318345714,42.85714286,0.221348591,,45.71428571
51.42857143,0.227353453,42.85714286,0.31514,48.57142857,0.222078201,,50
50,0.223845871,32.85714286,0.371194286,48.57142857,0.211555655,,50
61.42857143,0.18113546,50,0.320052857,64.28571429,0.186290246,,58.57142857
51.42857143,0.221542216,32.85714286,0.349312857,52.85714286,0.216772665,,50
70,0.153440824,41.42857143,0.390775714,64.28571429,0.18138077,,67.14285714
51.42857143,0.27278342,41.42857143,0.360714286,30,0.296392028,,37.14285714
48.57142857,0.229125409,47.14285714,0.315395714,51.42857143,0.222221531,,44.28571429
55.71428571,0.199308843,45.71428571,0.359384286,57.14285714,0.209989067,,61.42857143
50,0.212598271,28.57142857,0.396245714,45.71428571,0.221648587,,50
45.71428571,0.237839922,42.85714286,0.326635714,47.14285714,0.230283677,,51.42857143
70,0.17635384,42.85714286,0.342688571,67.14285714,0.186491101,,70
71.42857143,0.159410861,47.14285714,0.320965714,72.85714286,0.153650982,,72.85714286
62.85714286,0.187920066,37.14285714,0.329412857,64.28571429,0.191656942,,60
62.85714286,0.176882722,45.71428571,0.31915,61.42857143,0.192050396,,61.42857143
70,0.174238052,45.71428571,0.37438,64.28571429,0.193543563,,68.57142857
72.85714286,0.159092972,47.14285714,0.34765,71.42857143,0.165948533,,74.28571429
55.71428571,0.206396109,35.71428571,0.38302,52.85714286,0.207905789,,54.28571429
67.14285714,0.169707877,47.14285714,0.298907143,62.85714286,0.177093184,,67.14285714
55.71428571,0.213287423,37.14285714,0.334442857,42.85714286,0.233983462,,51.42857143
