ID,Date,Province#,Temperature,L2,Total Eggs,Total Larvae,Total Puapae,Total Adults,Susceptable Eggs,Susceptable Larvae,Susceptable Puapae,Susceptable Adults,Latent Eggs,Latent Larvae,Latent Puapae,Latent Adults,Infected Eggs,Infected Larvae,Infected Puapae,Infected Adults,Susceptable Human,Latent Human,Infectious Human,Recovery Human,New Latent Human,New Infectious Human,DEN-1,DEN-2,DEN-3,DEN-4
0,2008-01-01,46,27.7,0.2289,2137451,458418,82306,575086,1166641,179841,33239,191485,892246,167366,30474,191905,78564,111211,18593,191696,922824,120276,1453,0,120276,1453,0,120276,0,0
1,2008-01-02,46,25.7,0.2289,1495370,356587,73677,571347,786428,133729,29453,175607,636314,125880,27067,205290,72628,96978,17157,190450,816041,227059,1453,0,106783,0,0,227059,0,0
2,2008-01-03,46,27.3,0.2289,1350666,370374,70007,567498,663023,130038,27120,163707,610271,132671,25603,214628,77372,107665,17284,189163,722633,320467,1453,0,93408,0,0,320467,0,0
3,2008-01-04,46,26.8,0.2289,1303928,354238,66558,563788,600208,119478,24830,154189,627454,130474,24514,221664,76266,104286,17214,187935,641093,402007,1453,0,81540,0,0,402007,0,0
4,2008-01-05,46,27.1,0.2289,1281256,357089,64950,560474,559448,116433,23326,145700,645477,134816,24326,227992,76331,105840,17298,186782,570144,472956,1453,0,70949,0,0,472956,0,0
5,2008-01-06,46,27.7,0.2289,1255168,366152,65161,557558,523403,115843,22562,139659,655569,141092,24909,232059,76196,109217,17690,185840,504230,538870,1453,0,65914,0,0,538870,0,0
6,2008-01-07,46,27.7,0.2289,1241573,363922,65209,555218,498677,112548,21893,135001,667032,142407,25381,235133,75864,108967,17935,185084,446085,476739,121729,0,58145,120276,0,597015,0,0
7,2008-01-08,46,26.0,0.2289,1225589,328000,61116,551959,473980,100229,20107,129338,679853,130455,24099,238628,71756,97316,16910,183993,397117,418924,228512,0,48968,106783,0,645983,0,0
8,2008-01-09,46,24.2,0.2289,1084524,280957,53305,545943,400504,85570,17325,123494,626566,114443,21303,240476,57454,80944,14677,181973,354286,368347,321920,0,42831,93408,0,688814,0,0
9,2008-01-10,46,23.6,0.2289,1005934,255088,46329,537327,341219,76269,14862,120399,618138,105994,18819,237814,46577,72825,12648,179114,316710,325836,402007,0,39029,81540,39029,688814,0,0
