ID,Date,Province#,Temperature,L2,Total Eggs,Total Larvae,Total Puapae,Total Adults,Susceptable Eggs,Susceptable Larvae,Susceptable Puapae,Susceptable Adults,Latent Eggs,Latent Larvae,Latent Puapae,Latent Adults,Infected Eggs,Infected Larvae,Infected Puapae,Infected Adults,Susceptable Human,Latent Human,Infectious Human,Recovery Human,New Latent Human,New Infectious Human,DEN-1,DEN-2,DEN-3,DEN-4
0,2008-01-01,47,27.7,0.5151,713337,148501,26653,195552,388570,57996,10724,65143,298031,54075,9849,65224,26736,36430,6080,65185,284782,38050,273,0,38050,273,0,38050,0,0
1,2008-01-02,47,25.5,0.5151,500993,114479,23657,193944,263045,42874,9430,59627,213706,40387,8679,69665,24242,31218,5548,64652,251857,70975,273,0,32925,0,0,70975,0,0
2,2008-01-03,47,26.9,0.5151,457252,117974,22285,192229,223988,41387,8622,55113,207239,42255,8145,73039,26025,34332,5518,64077,223098,99734,273,0,28759,0,0,99734,0,0
3,2008-01-04,47,27.0,0.5151,441130,116726,21508,190573,202197,39193,8002,50246,212991,43049,7929,76780,25942,34484,5577,63547,198306,124526,273,0,24792,0,0,124526,0,0
4,2008-01-05,47,27.2,0.5151,431808,116779,21133,189239,183886,37498,7541,47139,222083,44525,7947,79029,25839,34756,5645,63071,174401,148431,273,0,23905,0,0,148431,0,0
5,2008-01-06,47,27.4,0.5151,424898,117052,20998,188474,170832,36272,7193,44360,228354,45754,8089,81464,25712,35026,5716,62650,153599,169233,273,0,20802,0,0,169233,0,0
6,2008-01-07,47,27.9,0.5151,416118,119194,21149,187409,158781,35747,6972,41492,231837,47599,8348,83618,25500,35848,5829,62299,137565,147217,38323,0,16034,38050,0,185267,0,0
7,2008-01-08,47,25.1,0.5151,395217,99252,18981,184776,140727,29164,6113,39933,232277,40770,7613,83081,22213,29318,5255,61762,123164,128693,71248,0,14401,32925,0,199668,0,0
8,2008-01-09,47,23.4,0.5151,226698,57843,10933,182778,0,0,0,36016,211446,34555,6535,85928,15252,23288,4398,60834,110488,112610,100007,0,12676,28759,0,212344,0,0
9,2008-01-10,47,23.3,0.5151,221205,56010,9555,179341,0,0,0,38852,206796,33839,5792,80808,14409,22171,3763,59681,98795,99784,124526,0,11966,24792,0,224310,0,0
10,2008-01-11,47,22.7,0.5151,187197,49573,8394,175006,0,0,0,36382,175252,30255,5148,80303,11945,19318,3246,58321,98795,75879,148431,0,0,23905,0,224310,0,0
11,2008-01-12,47,23.7,0.5151,214419,56304,8053,170790,0,0,0,34222,199486,33474,4962,79564,14933,22830,3091,57004,98795,55077,169233,0,0,20802,0,224310,0,0
12,2008-01-13,47,24.0,0.5151,213911,59118,8188,167109,0,0,0,33366,197134,35266,5049,77991,16777,23852,3139,55752,98795,39043,185267,0,0,16034,0,224310,0,0
13,2008-01-14,47,24.5,0.5151,220796,61913,8583,163895,0,0,0,32694,202806,36667,5280,76583,17990,25246,3303,54618,98795,24642,199668,0,0,14401,0,224310,0,0
14,2008-01-15,47,25.3,0.5151,231317,66267,9343,161039,0,0,0,33735,211686,39028,5726,73658,19631,27239,3617,53646,98795,11966,212344,0,0,12676,0,224310,0,0
15,2008-01-16,47,25.6,0.5151,230278,67416,10012,158426,0,0,0,35532,210319,39581,6113,70060,19959,27835,3899,52834,136845,0,186260,0,0,11966,0,186260,0,0
16,2008-01-17,47,26.0,0.5151,225038,68392,10595,156557,0,0,0,36801,204701,39829,6439,67591,20337,28563,4156,52165,169770,0,153335,0,0,0,0,153335,0,0
17,2008-01-18,47,26.7,0.5151,220618,70733,11280,155045,0,0,0,37871,199738,40841,6813,65526,20880,29892,4467,51648,198529,0,124576,0,0,0,0,124576,0,0
18,2008-01-19,47,25.3,0.5151,207089,63478,10838,153524,0,0,0,39817,188289,36786,6517,62566,18800,26692,4321,51141,223321,0,99784,0,0,0,0,99784,0,0
19,2008-01-20,47,25.2,0.5151,196722,61654,10356,151757,0,0,0,40886,178389,35518,6211,60285,18333,26136,4145,50586,247226,0,75879,0,0,0,0,75879,0,0
20,2008-01-21,47,24.2,0.5151,175741,55184,9458,149693,0,0,0,42164,160023,31930,5662,57625,15718,23254,3796,49904,268028,0,55077,0,0,0,0,55077,0,0
21,2008-01-22,47,24.6,0.5151,171658,55868,8979,147572,0,0,0,43279,155229,31884,5357,55115,16429,23984,3622,49178,284062,0,39043,0,0,0,0,39043,0,0
22,2008-01-23,47,25.4,0.5151,173770,59062,9115,145529,0,0,0,44468,155861,33207,5394,52556,17909,25855,3721,48505,298463,0,24642,0,0,0,0,24642,0,0
23,2008-01-24,47,25.6,0.5151,169838,59351,9327,143749,0,0,0,45260,151756,33111,5470,50575,18082,26240,3857,47914,311139,0,11966,0,0,0,0,11966,0,0
24,2008-01-25,47,24.7,0.5151,156320,54306,8933,141938,0,0,0,45910,140183,30378,5211,48717,16137,23928,3722,47311,323105,0,0,0,0,0,0,0,0,0
25,2008-01-26,47,23.1,0.5151,130044,43763,7836,139521,0,0,0,46507,119213,24981,4575,46507,10831,18782,3261,46507,314366,8739,0,0,8739,0,0,8739,0,0
26,2008-01-27,47,22.6,0.5151,108020,38180,6770,136590,0,0,0,44579,99015,21970,3972,46481,9005,16210,2798,45530,306757,16348,0,0,7609,0,0,16348,0,0
27,2008-01-28,47,23.7,0.5151,126788,44051,6410,133764,0,0,0,42942,115130,24513,3752,46236,11658,19538,2658,44586,299941,23164,0,0,6816,0,0,23164,0,0
28,2008-01-29,47,24.2,0.5151,130611,47665,6589,131125,0,0,0,41652,116982,26571,3837,45764,13629,21094,2752,43709,294616,28489,0,0,5325,0,0,28489,0,0
29,2008-01-30,47,24.4,0.5151,132610,48662,6848,128765,0,0,0,40409,118692,27086,3970,45438,13918,21576,2878,42918,288996,34109,0,0,5620,0,0,34109,0,0
30,2008-01-31,47,25.5,0.5151,142416,53579,7546,126832,0,0,0,39057,126664,29608,4355,45502,15752,23971,3191,42273,283972,39133,0,0,5024,0,0,39133,0,0
31,2008-02-01,47,26.4,0.5151,148423,57544,8496,125453,0,0,0,37986,131757,31803,4888,45654,16666,25741,3608,41813,279472,34894,8739,0,4500,8739,0,43633,0,0
32,2008-02-02,47,27.2,0.5151,150371,60686,9455,124656,0,0,0,37522,133377,33582,5435,45579,16994,27104,4020,41555,275332,31425,16348,0,4140,7609,0,47773,0,0
33,2008-02-03,47,27.2,0.5151,150748,60740,10022,124315,0,0,0,36990,133809,33659,5758,45882,16939,27081,4264,41443,271453,28488,23164,0,3879,6816,0,51652,0,0
34,2008-02-04,47,27.6,0.5151,150606,62172,10464,124295,0,0,0,36509,133649,34483,6016,46351,16957,27689,4448,41435,267994,26622,28489,0,3459,5325,0,55111,0,0
35,2008-02-05,47,26.8,0.5151,152978,59567,10433,124312,0,0,0,36116,136215,33174,6000,46764,16763,26393,4433,41432,264711,24285,34109,0,3283,5620,0,58394,0,0
36,2008-02-06,47,26.3,0.5151,153630,57847,10164,124147,0,0,0,35746,137240,32400,5861,47025,16390,25447,4303,41376,261730,22242,39133,0,2981,5024,0,61375,0,0
37,2008-02-07,47,25.8,0.5151,152338,55888,9755,123744,0,0,0,35270,136532,31473,5645,47236,15806,24415,4110,41238,259021,20451,43633,0,2709,4500,0,64084,0,0
38,2008-02-08,47,25.4,0.5151,149997,54108,9296,123087,0,0,0,34481,134831,30624,5401,47593,15166,23484,3895,41013,256528,18804,47773,0,2493,4140,0,66577,0,0
39,2008-02-09,47,26.0,0.5151,153564,56452,9296,122519,0,0,0,34407,137729,31901,5420,47337,15835,24551,3876,40775,254298,17155,51652,0,2230,3879,0,68807,0,0
40,2008-02-10,47,25.8,0.5151,152696,55686,9247,121686,0,0,0,33394,137155,31537,5401,47757,15541,24149,3846,40535,261010,15723,46372,0,2027,3459,0,62095,0,0
41,2008-02-11,47,26.0,0.5151,154307,56466,9301,121085,0,0,0,33303,138634,32035,5443,47475,15673,24431,3858,40307,266684,14375,42046,0,1935,3283,0,56421,0,0
42,2008-02-12,47,27.3,0.5151,155397,61205,9916,120618,0,0,0,33953,138982,34547,5810,46486,16415,26658,4106,40179,271701,13193,38211,0,1799,2981,0,51404,0,0
43,2008-02-13,47,25.0,0.5151,145556,52075,9266,120018,0,0,0,35491,131375,29667,5424,44552,14181,22408,3842,39975,277026,10484,35595,0,0,2709,0,46079,0,0
44,2008-02-14,47,23.1,0.5151,119276,40995,7894,118397,0,0,0,35169,110080,23903,4643,43740,9196,17092,3251,39488,282646,7991,32468,0,0,2493,0,40459,0,0
45,2008-02-15,47,26.1,0.5151,138597,53636,8117,117372,0,0,0,35029,123498,29992,4776,43264,15099,23644,3341,39079,287670,5761,29674,0,0,2230,0,35435,0,0
46,2008-02-16,47,27.9,0.5151,139819,60701,9277,116717,0,0,0,35667,123954,33686,5406,42187,15865,27015,3871,38863,292170,3734,27201,0,0,2027,0,30935,0,0
47,2008-02-17,47,28.0,0.5151,137345,60807,10020,116592,0,0,0,35891,121513,33588,5790,41839,15832,27219,4230,38862,296310,1799,24996,0,0,1935,0,26795,0,0
48,2008-02-18,47,27.7,0.5151,137606,59755,10313,116841,0,0,0,36349,121691,32929,5925,41534,15915,26826,4388,38958,300189,0,22916,0,0,1799,0,22916,0,0
49,2008-02-19,47,28.1,0.5151,135188,60888,10535,117426,0,0,0,36944,119311,33470,6034,41359,15877,27418,4501,39123,303648,0,19457,0,0,0,0,19457,0,0
50,2008-02-20,47,28.7,0.5151,130082,62333,10715,118094,0,0,0,37451,114464,34142,6119,41284,15618,28191,4596,39359,306931,0,16174,0,0,0,0,16174,0,0
51,2008-02-21,47,28.8,0.5151,128165,62426,10807,118924,0,0,0,37974,112538,34040,6146,41321,15627,28386,4661,39629,309912,0,13193,0,0,0,0,13193,0,0
52,2008-02-22,47,28.7,0.5151,128873,62259,10853,119736,0,0,0,38681,113060,33855,6148,41149,15813,28404,4705,39906,312621,0,10484,0,0,0,0,10484,0,0
53,2008-02-23,47,29.5,0.5151,120026,63656,10776,120633,0,0,0,38930,104917,34573,6096,41487,15109,29083,4680,40216,313454,1660,7991,0,1660,0,0,9651,0,0
54,2008-02-24,47,28.3,0.5151,130903,61235,10811,121371,0,0,0,39158,114634,33065,6080,41758,16269,28170,4731,40455,314104,3240,5761,0,1580,0,0,9001,0,0
55,2008-02-25,47,28.1,0.5151,134869,61323,10823,122040,0,0,0,39599,118378,33269,6085,41762,16491,28054,4738,40679,314614,4757,3734,0,1517,0,0,8491,0,0
56,2008-02-26,47,28.9,0.5151,129490,63526,10905,122857,0,0,0,39909,113418,34481,6144,42005,16072,29045,4761,40943,315233,6073,1799,0,1316,0,0,7872,0,0
57,2008-02-27,47,29.3,0.5151,124684,64167,10914,123717,0,0,0,40169,108945,34739,6146,42321,15739,29428,4768,41227,315643,7462,0,0,1389,0,0,7462,0,0
58,2008-02-28,47,28.7,0.5151,130859,63092,10974,124456,0,0,0,40581,114435,34041,6159,42396,16424,29051,4815,41479,314383,8722,0,0,1260,0,0,8722,0,0
59,2008-02-29,47,28.5,0.5151,133943,63011,11020,125176,0,0,0,40762,117253,34046,6180,42693,16690,28965,4840,41721,313175,8270,1660,0,1208,1660,0,9930,0,0
60,2008-03-01,47,28.2,0.5151,137415,62546,11036,125839,0,0,0,40873,120456,33843,6191,43025,16959,28703,4845,41941,312102,7763,3240,0,1073,1580,0,11003,0,0
61,2008-03-02,47,27.2,0.5151,142727,59744,10807,126234,0,0,0,40883,125579,32450,6067,43276,17148,27294,4740,42075,311097,7251,4757,0,1005,1517,0,12008,0,0
62,2008-03-03,47,27.0,0.5151,144590,59338,10592,126421,0,0,0,40687,127460,32360,5965,43589,17130,26978,4627,42145,310222,6810,6073,0,875,1316,0,12883,0,0
63,2008-03-04,47,27.6,0.5151,144531,61542,10689,126690,0,0,0,40626,127270,33569,6039,43843,17261,27973,4650,42221,309363,6280,7462,0,859,1389,0,13742,0,0
64,2008-03-05,47,28.6,0.5151,139059,64539,10967,127146,0,0,0,40924,122144,35166,6209,43850,16915,29373,4758,42372,308567,5816,8722,0,796,1260,0,14538,0,0
65,2008-03-06,47,28.6,0.5151,138168,64417,11133,127688,0,0,0,41052,121198,34975,6292,44071,16970,29442,4841,42565,307822,5353,9930,0,745,1208,0,15283,0,0
66,2008-03-07,47,29.0,0.5151,134586,65391,11208,128413,0,0,0,41087,117888,35483,6328,44528,16698,29908,4880,42798,307123,4979,11003,0,699,1073,0,15982,0,0
67,2008-03-08,47,29.1,0.5151,133817,65664,11243,129139,0,0,0,41262,117146,35595,6338,44837,16671,30069,4905,43040,306481,4616,12008,0,642,1005,0,16624,0,0
68,2008-03-09,47,29.2,0.5151,133188,65990,11258,129923,0,0,0,41163,116541,35757,6340,45474,16647,30233,4918,43286,307480,4402,11223,0,661,875,0,15625,0,0
69,2008-03-10,47,28.8,0.5151,138960,65518,11324,130552,0,0,0,41670,121808,35516,6369,45372,17152,30002,4955,43510,308527,4076,10502,0,533,859,0,14578,0,0
70,2008-03-11,47,28.9,0.5151,138883,66027,11377,131232,0,0,0,42195,121720,35822,6404,45297,17163,30205,4973,43740,309609,3715,9781,0,435,796,0,13496,0,0
71,2008-03-12,47,29.4,0.5151,132697,66914,11339,132013,0,0,0,42555,116026,36271,6388,45475,16671,30643,4951,43983,310486,3409,9210,0,439,745,0,12619,0,0
72,2008-03-13,47,29.5,0.5151,130609,66910,11284,132634,0,0,0,42963,114007,36156,6346,45460,16602,30754,4938,44211,311470,3115,8520,0,405,699,0,11635,0,0
73,2008-03-14,47,27.9,0.5151,145518,63371,11267,133066,0,0,0,42978,127495,34142,6309,45738,18023,29229,4958,44350,312342,2861,7902,0,388,642,0,10763,0,0
74,2008-03-15,47,27.1,0.5151,151476,61394,11029,133293,0,0,0,43277,133386,33364,6186,45599,18090,28030,4843,44417,313217,2533,7355,0,333,661,0,9888,0,0
75,2008-03-16,47,29.3,0.5151,137062,67611,11204,133691,0,0,0,43500,120000,36756,6326,45631,17062,30855,4878,44560,313966,2324,6815,0,324,533,0,9139,0,0
76,2008-03-17,47,29.9,0.5151,125682,67602,11132,134209,0,0,0,43642,109491,36554,6277,45837,16191,31048,4855,44730,314618,2242,6245,0,353,435,0,8487,0,0
77,2008-03-18,47,30.1,0.5151,120710,67196,10951,134620,0,0,0,43809,104842,36174,6149,45938,15868,31022,4802,44873,315185,2111,5809,0,308,439,0,7920,0,0
78,2008-03-19,47,30.3,0.5151,116445,66916,10733,134944,0,0,0,44083,100917,35956,6005,45887,15528,30960,4728,44974,315771,1979,5355,0,273,405,0,7334,0,0
79,2008-03-20,47,29.7,0.5151,125664,66816,10876,135219,0,0,0,44208,109071,35712,6053,45940,16593,31104,4823,45071,316344,1814,4947,0,223,388,0,6761,0,0
80,2008-03-21,47,29.4,0.5151,131782,67036,11086,135619,0,0,0,44445,114668,35922,6163,45970,17114,31114,4923,45204,316847,1723,4535,0,242,333,0,6258,0,0
81,2008-03-22,47,29.3,0.5151,134405,67252,11248,136104,0,0,0,44594,117083,36105,6260,46143,17322,31147,4988,45367,317295,1650,4160,0,251,324,0,5810,0,0
82,2008-03-23,47,30.0,0.5151,124640,67964,11117,136624,0,0,0,44850,108331,36603,6208,46237,16309,31361,4909,45537,317723,1511,3871,0,214,353,0,5382,0,0
83,2008-03-24,47,30.0,0.5151,123182,67612,11018,137013,0,0,0,45007,106857,36247,6144,46338,16325,31365,4874,45668,318181,1406,3518,0,203,308,0,4924,0,0
84,2008-03-25,47,29.9,0.5151,124783,67621,11007,137364,0,0,0,45259,108241,36194,6125,46321,16542,31427,4882,45784,318525,1322,3258,0,189,273,0,4580,0,0
85,2008-03-26,47,29.7,0.5151,128262,67667,11092,137723,0,0,0,45293,111340,36189,6163,46525,16922,31478,4929,45905,318818,1241,3046,0,142,223,0,4287,0,0
86,2008-03-27,47,29.9,0.5151,126077,68006,11081,138116,0,0,0,45517,109430,36453,6162,46567,16647,31553,4919,46032,319109,1147,2849,0,148,242,0,3996,0,0
87,2008-03-28,47,30.1,0.5151,122395,67944,10981,138423,0,0,0,45703,106074,36402,6109,46581,16321,31542,4872,46139,319377,1033,2695,0,137,251,0,3728,0,0
88,2008-03-29,47,28.6,0.5151,142023,66039,11245,138669,0,0,0,45773,123648,35195,6229,46674,18375,30844,5016,46222,319644,940,2521,0,121,214,0,3461,0,0
89,2008-03-30,47,28.3,0.5151,148498,66131,11425,138995,0,0,0,45957,129800,35524,6345,46708,18698,30607,5080,46330,319860,854,2391,0,117,203,0,3245,0,0
90,2008-03-31,47,26.2,0.5151,153801,59065,10831,138867,0,0,0,45963,135572,32013,6033,46617,18229,27052,4798,46287,320076,773,2256,0,108,189,0,3029,0,0
91,2008-04-01,47,27.0,0.5151,155909,62198,10766,138616,0,0,0,45847,137125,33728,6033,46565,18784,28470,4733,46204,320332,728,2045,0,97,142,0,2773,0,0
92,2008-04-02,47,28.0,0.5151,152988,65691,11121,138551,0,0,0,45836,134169,35542,6253,46532,18819,30149,4868,46183,320557,663,1885,0,83,148,0,2548,0,0
93,2008-04-03,47,29.6,0.5151,135424,69028,11314,138829,0,0,0,46007,118129,37319,6376,46550,17295,31709,4938,46272,320747,609,1749,0,83,137,0,2358,0,0
94,2008-04-04,47,29.6,0.5151,132445,68353,11365,139188,0,0,0,46083,115164,36666,6373,46709,17281,31687,4992,46396,320897,561,1647,0,73,121,0,2208,0,0
95,2008-04-05,47,30.3,0.5151,120293,68316,11055,139499,0,0,0,46283,104208,36692,6187,46716,16085,31624,4868,46500,321078,505,1522,0,61,117,0,2027,0,0
96,2008-04-06,47,30.8,0.5151,108579,67034,10530,139459,0,0,0,46228,93540,35907,5877,46745,15039,31127,4653,46486,321283,443,1379,0,46,108,0,1822,0,0
97,2008-04-07,47,30.2,0.5151,117953,67263,10575,139366,0,0,0,46226,101750,35710,5857,46689,16203,31553,4718,46451,321441,402,1262,0,56,97,0,1664,0,0
98,2008-04-08,47,29.0,0.5151,137260,66838,11012,139454,0,0,0,46255,119170,35498,6072,46718,18090,31340,4940,46481,321589,374,1142,0,55,83,0,1516,0,0
99,2008-04-09,47,30.5,0.5151,117121,68323,10788,139616,0,0,0,46380,101389,36776,6000,46698,15732,31547,4788,46538,321733,336,1036,0,45,83,0,1372,0,0
100,2008-04-10,47,30.2,0.5151,119420,67694,10762,139685,0,0,0,46407,103164,36067,5970,46719,16256,31627,4792,46559,321827,311,967,0,48,73,0,1278,0,0
101,2008-04-11,47,30.5,0.5151,114185,67509,10586,139671,0,0,0,46381,98502,36045,5869,46738,15683,31464,4717,46552,321932,293,880,0,43,61,0,1173,0,0
102,2008-04-12,47,30.8,0.5151,107475,66726,10282,139410,0,0,0,46348,92447,35618,5698,46591,15028,31108,4584,46471,322040,276,789,0,29,46,0,1065,0,0
103,2008-04-13,47,30.8,0.5151,106063,66293,10092,139004,0,0,0,46211,91093,35268,5579,46459,14970,31025,4513,46334,322131,250,724,0,30,56,0,974,0,0
104,2008-04-14,47,30.7,0.5151,107464,66314,10055,138569,0,0,0,46082,92334,35232,5545,46296,15130,31082,4510,46191,322219,224,662,0,29,55,0,886,0,0
105,2008-04-15,47,27.5,0.5151,144528,62017,10452,138266,0,0,0,45969,125790,32808,5729,46210,18738,29209,4723,46087,322309,197,599,0,18,45,0,796,0,0
106,2008-04-16,47,27.9,0.5151,150162,64772,10874,138204,0,0,0,45973,131359,34805,6008,46163,18803,29967,4866,46068,322388,167,550,0,18,48,0,717,0,0
107,2008-04-17,47,29.3,0.5151,138339,68392,11231,138487,0,0,0,46084,120654,36856,6263,46242,17685,31536,4968,46161,322451,144,510,0,20,43,0,654,0,0
108,2008-04-18,47,29.9,0.5151,127470,68476,11214,138873,0,0,0,46202,110706,36783,6265,46379,16764,31693,4949,46292,322517,132,456,0,17,29,0,588,0,0
109,2008-04-19,47,30.6,0.5151,113114,67571,10768,139061,0,0,0,46278,97691,36254,6014,46430,15423,31317,4754,46353,322577,115,413,0,13,30,0,528,0,0
110,2008-04-20,47,28.3,0.5151,142386,64880,11060,139110,0,0,0,46317,123766,34382,6118,46424,18620,30498,4942,46369,322619,105,381,0,19,29,0,486,0,0
111,2008-04-21,47,29.6,0.5151,133219,68613,11219,139438,0,0,0,46416,115859,36836,6237,46543,17360,31777,4982,46479,322653,99,353,0,12,18,0,452,0,0
112,2008-04-22,47,29.5,0.5151,133495,68239,11337,139830,0,0,0,46573,115983,36500,6303,46647,17512,31739,5034,46610,322695,95,315,0,14,18,0,410,0,0
113,2008-04-23,47,30.0,0.5151,125797,68568,11206,140224,0,0,0,46695,109060,36727,6237,46788,16737,31841,4969,46741,322737,88,280,0,13,20,0,368,0,0
114,2008-04-24,47,30.2,0.5151,121199,68232,11013,140488,0,0,0,46785,104826,36458,6122,46876,16373,31774,4891,46827,322782,71,252,0,0,17,0,323,0,0
115,2008-04-25,47,29.0,0.5151,138543,67212,11272,140704,0,0,0,46848,120295,35711,6234,46954,18248,31501,5038,46902,322830,58,217,0,0,13,0,275,0,0
