"Amnat Charoen",66,11.2075852,58,18.44,74,12.94
"Ang Thong",92,3.73711082,98,2.59,96,2.97
"Bangkok Metropolis",2,203.000294,12,218.02,2,157.06
"Bueng Kan",56,15.43897656846,72,9.32,82,7.1
"Buri Ram",28,26.2775266,18,43.3,6,50.88
Chachoengsao,52,11.9178453,48,13.19,70,8.27
"Chai Nat",72,7.632412446,60,8.98,78,6.22
Chaiyaphum,36,25.97599468,38,27.33,42,15.67
Chanthaburi,42,19.3740801,54,15.99,46,16.01
"Chiang Mai",8,205.92709776,8,266.68,14,184.78
"Chiang Rai",18,137.6504522,20,187.32,22,208.62
"Chon Buri",30,26.824434216,26,32.07,50,21.07
Chumphon,28,30.01773912,14,34.78,22,26.12
Kalasin,60,16.49415688,44,19.84,58,17.62
"Kamphaeng Phet",50,19.6982302,38,23.57,22,22.55
Kanchanaburi,58,12.25270922,64,11.69,68,10.07
"Khon Kaen",20,42.6275288,42,54.42,40,46.72
Krabi,26,42.46236354,30,37.05,6,63.61
Lampang,32,36.7779371,34,50.12,60,36.04
Lamphun,38,21.92651036,44,19.59,56,17.37
Loei,22,46.7130808,34,42.58,12,42.26
"Lop Buri",38,16.54651662,60,12.09,42,11.75
"Mae Hong Son",58,23.76536078,46,31.46,64,24.76
"Maha Sarakham",16,37.53846574,14,39.22,16,31.4
Mukdahan,58,17.805106132,46,19.46,74,12.12
"Nakhon Nayok",80,6.66075346,80,5.48,86,5.2
"Nakhon Pathom",20,22.116986,24,20.69,18,23.57
"Nakhon Phanom",42,40.392876404,46,45.1,62,41.14
"Nakhon Ratchasima",10,88.6881917,8,125.92,16,99.34
"Nakhon Sawan",18,36.1396415,12,35.8,26,28.94
"Nakhon Si Thammarat",16,45.4534515,24,56.1,12,42.86
Nan,50,15.7914382,52,19.11,72,13.75
Narathiwat,24,24.5682308,18,24.43,30,22.07
"Nong Bua Lam Phu",48,17.82144784,36,19.48,42,15.28
"Nong Khai",50,16.74214296,64,23.81,72,17.35
Nonthaburi,44,15.52722858,30,18.11,34,16.79
"Pathum Thani",66,8.24629796,58,10.58,66,7.62
Pattani,24,22.18958422,32,18.91,30,14.29
Phangnga,38,17.319851308,36,15.03,50,11.37
Phatthalung,56,15.8668681,56,16.35,40,14.09
Phayao,28,21.790988412,36,19,26,17.04
Phetchabun,58,13.14166138,52,14.68,68,14.04
Phetchaburi,36,41.262177252,40,60.78,22,51.28
Phichit,66,8.11935422,56,9.63,84,5.95
Phitsanulok,66,11.59077468,58,11.71,82,9.03
"Phra Nakhon Si Ayutthaya",44,15.9239328,40,18.45,44,17.87
Phrae,74,7.469867718,50,9.49,54,10.41
Phuket,16,41.0058022,24,51.78,40,39.82
"Prachin Buri",48,15.42555188,46,18.21,74,11.11
"Prachuap Khiri Khan",68,8.15941496,80,7.16,72,6.08
Ranong,80,7.302973398,90,5.5,88,4.1
Ratchaburi,46,16.51987088,48,15.54,20,19.08
Rayong,36,22.4651698,40,23.51,30,22.89
"Roi Et",24,67.5347151,18,62.36,18,54.5
"Sa Kaeo",78,7.10042157,78,9.96,86,6.58
"Sakon Nakhon",66,12.298979656,70,10.52,80,9.12
"Samut Prakan",22,29.1118942,36,27.69,44,23.31
"Samut Sakhon",46,14.49223234,38,14.47,12,22.29
"Samut Songkhram",94,3.99848352,94,3.97,100,2.99
Saraburi,38,18.57846078,50,16.36,62,14.3
Satun,50,11.79149986,72,6.95,88,5.29
"Si Sa Ket",10,60.5249018,18,87.75,4,65.81
"Sing Buri",94,3.298464752,100,1.68,100,4.64
Songkhla,6,93.8037738,16,111.41,4,101.27
Sukhothai,54,12.2593072,56,10.35,80,8.21
"Suphan Buri",48,11.41599802,62,8.67,88,6.73
"Surat Thani",24,29.8156456,20,29.77,34,18.65
Surin,20,43.2115216,18,49.15,12,38.41
Tak,28,28.795427708,40,23.35,30,21.33
Trang,32,17.61812568,34,18.6,22,16.24
Trat,58,13.41077472,54,12.12,44,11.66
"Ubon Ratchathani",28,66.300518164,26,62.99,6,87.71
"Udon Thani",38,26.9959414,44,24.38,64,20.14
"Uthai Thani",68,8.822417664,64,7.9,70,6.96
Uttaradit,70,10.25298906,54,10.77,72,8.75
Yala,68,7.76392654,68,8.4,88,6.44
Yasothon,60,19.289275014,74,13.06,76,12.26
